IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2002348;Arbre;Jardin;BOIS DE BOULOGNE;16-09;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;000301002;Cèdre;Cedrus;atlantica;;488;25;Mature;OUI;48.863390735731556, 2.2404811268251366
2002375;Arbre;Jardin;BOIS DE VINCENNES;12-26;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;12-26;Chêne;Quercus;robur;;475;33;Mature;OUI;48.84330787065609, 2.4497426086236
121923;Arbre;Jardin;PARIS 20E ARRDT;20-04;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;000102006;Marronnier;Aesculus;hippocastanum;;385;26;Mature;OUI;48.865035507523544, 2.400931759352979
139108;Arbre;Jardin;PARIS 16E ARRDT;16-42;SQUARE ROBERT SCHUMAN / 20 BOULEVARD LANNES;000103003;Chicot du Canada;Gymnocladus;dioica;;180;13;Mature;OUI;48.86915032088508, 2.2722520114979354
132542;Arbre;Jardin;PARIS 5E ARRDT;;SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES;000101001;Platane;Platanus;orientalis;;415;24;Mature;OUI;48.84935115947164, 2.3450329277656965
138456;Arbre;Jardin;PARIS 13E ARRDT;;JARDIN BRASSAI / 2 RUE EUGENE ATGET;000101028;Figuier;Ficus;carica;;120;5;Adulte;OUI;48.82883949514473, 2.3497673421654754
2002385;Arbre;Jardin;BOIS DE VINCENNES;12-15;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE;12-15;Chêne;Quercus;ilex;;200;23;Mature;OUI;48.81838918664723, 2.4379185136756147
103916;Arbre;Jardin;PARIS 19E ARRDT;;PARC DES BUTTES CHAUMONT;O10201001;If;Taxus;baccata;;150;14;Mature;OUI;48.877042699364395, 2.3805084323409735
2002368;Arbre;Jardin;BOIS DE VINCENNES;12-03;ECOLE DE CHIENS GUIDE D AVEUGLES - AVENUE DE SAINT-MAURICE;12-03;Arbre aux quarante écus;Ginkgo;biloba;;255;25;Mature;OUI;48.83368577644323, 2.4211119282635227
136310;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040026;Pterocarya;Pterocarya;stenoptera;;587;20;Mature;OUI;48.84714674403445, 2.251983537170906
